transaction_id,student_id,course_id,term_id,internal_marks,external_marks,total_marks,grade_point,result_status,attendance_percentage
TRX_0000116,ST_2019_D001_015,CS_104,T_2019-2020_ODD,22,34,56,6,Pass,53
TRX_0000117,ST_2019_D001_015,CS_105,T_2019-2020_ODD,18,27,45,5,Pass,57
TRX_0000118,ST_2019_D001_015,CS_106,T_2019-2020_ODD,18,28,46,5,Pass,58
TRX_0000119,ST_2019_D001_015,CS_107,T_2019-2020_ODD,13,20,33,0,Fail,75
TRX_0000120,ST_2019_D001_015,CS_108,T_2019-2020_ODD,18,28,46,5,Pass,71
TRX_0000121,ST_2019_D001_016,CS_101,T_2019-2020_ODD,10,17,27,0,Debarred,43
TRX_0000122,ST_2019_D001_016,CS_102,T_2019-2020_ODD,21,33,54,6,Debarred,46
TRX_0000123,ST_2019_D001_016,CS_103,T_2019-2020_ODD,12,20,32,0,Debarred,41
TRX_0000124,ST_2019_D001_016,CS_104,T_2019-2020_ODD,21,32,53,6,Pass,50
TRX_0000125,ST_2019_D001_016,CS_105,T_2019-2020_ODD,10,15,25,0,Fail,69
TRX_0000126,ST_2019_D001_016,CS_106,T_2019-2020_ODD,14,23,37,0,Fail,67
TRX_0000127,ST_2019_D001_016,CS_107,T_2019-2020_ODD,17,27,44,0,Debarred,48
TRX_0000128,ST_2019_D001_016,CS_108,T_2019-2020_ODD,16,26,42,0,Fail,50
TRX_0000129,ST_2019_D001_017,CS_101,T_2019-2020_ODD,28,42,70,8,Pass,67
TRX_0000130,ST_2019_D001_017,CS_102,T_2019-2020_ODD,23,35,58,6,Pass,76
TRX_0000131,ST_2019_D001_017,CS_103,T_2019-2020_ODD,24,37,61,7,Pass,67
TRX_0000132,ST_2019_D001_017,CS_104,T_2019-2020_ODD,31,47,78,8,Pass,86
TRX_0000133,ST_2019_D001_017,CS_105,T_2019-2020_ODD,22,33,55,6,Pass,85
TRX_0000134,ST_2019_D001_017,CS_106,T_2019-2020_ODD,24,38,62,7,Pass,66
TRX_0000135,ST_2019_D001_017,CS_107,T_2019-2020_ODD,23,36,59,6,Pass,85
TRX_0000136,ST_2019_D001_017,CS_108,T_2019-2020_ODD,28,44,72,8,Pass,88
TRX_0000137,ST_2019_D001_018,CS_101,T_2019-2020_ODD,22,35,57,6,Pass,89
TRX_0000138,ST_2019_D001_018,CS_102,T_2019-2020_ODD,28,42,70,8,Pass,78
TRX_0000139,ST_2019_D001_018,CS_103,T_2019-2020_ODD,28,44,72,8,Pass,67
TRX_0000140,ST_2019_D001_018,CS_104,T_2019-2020_ODD,20,30,50,6,Pass,68
TRX_0000141,ST_2019_D001_018,CS_105,T_2019-2020_ODD,26,39,65,7,Pass,71
TRX_0000142,ST_2019_D001_018,CS_106,T_2019-2020_ODD,21,33,54,6,Pass,67
TRX_0000143,ST_2019_D001_018,CS_107,T_2019-2020_ODD,22,35,57,6,Pass,83
TRX_0000144,ST_2019_D001_018,CS_108,T_2019-2020_ODD,28,43,71,8,Pass,81
TRX_0000145,ST_2019_D001_019,CS_101,T_2019-2020_ODD,20,30,50,6,Pass,79
TRX_0000146,ST_2019_D001_019,CS_102,T_2019-2020_ODD,28,44,72,8,Pass,65
TRX_0000147,ST_2019_D001_019,CS_103,T_2019-2020_ODD,30,46,76,8,Pass,75
TRX_0000148,ST_2019_D001_019,CS_104,T_2019-2020_ODD,30,47,77,8,Pass,68
TRX_0000149,ST_2019_D001_019,CS_105,T_2019-2020_ODD,28,44,72,8,Pass,78
TRX_0000150,ST_2019_D001_019,CS_106,T_2019-2020_ODD,26,39,65,7,Pass,69
TRX_0000151,ST_2019_D001_019,CS_107,T_2019-2020_ODD,22,35,57,6,Pass,67
TRX_0000152,ST_2019_D001_019,CS_108,T_2019-2020_ODD,20,32,52,6,Pass,77
TRX_0000153,ST_2019_D001_020,CS_101,T_2019-2020_ODD,30,45,75,8,Pass,88
TRX_0000154,ST_2019_D001_020,CS_102,T_2019-2020_ODD,21,32,53,6,Pass,68
TRX_0000155,ST_2019_D001_020,CS_103,T_2019-2020_ODD,24,37,61,7,Pass,75
TRX_0000156,ST_2019_D001_020,CS_104,T_2019-2020_ODD,21,33,54,6,Pass,74
TRX_0000157,ST_2019_D001_020,CS_105,T_2019-2020_ODD,29,45,74,8,Pass,77
TRX_0000158,ST_2019_D001_020,CS_106,T_2019-2020_ODD,30,47,77,8,Pass,89
TRX_0000159,ST_2019_D001_020,CS_107,T_2019-2020_ODD,28,42,70,8,Pass,69
TRX_0000160,ST_2019_D001_020,CS_108,T_2019-2020_ODD,21,33,54,6,Pass,86
TRX_0000161,ST_2019_D001_021,CS_101,T_2019-2020_ODD,26,40,66,7,Pass,67
TRX_0000162,ST_2019_D001_021,CS_102,T_2019-2020_ODD,20,30,50,6,Pass,83
TRX_0000163,ST_2019_D001_021,CS_103,T_2019-2020_ODD,28,42,70,8,Pass,84
TRX_0000164,ST_2019_D001_021,CS_104,T_2019-2020_ODD,25,39,64,7,Pass,70
TRX_0000165,ST_2019_D001_021,CS_105,T_2019-2020_ODD,29,44,73,8,Pass,76
TRX_0000166,ST_2019_D001_021,CS_106,T_2019-2020_ODD,28,42,70,8,Pass,71
TRX_0000167,ST_2019_D001_021,CS_107,T_2019-2020_ODD,21,33,54,6,Pass,88
TRX_0000168,ST_2019_D001_021,CS_108,T_2019-2020_ODD,27,42,69,7,Pass,78
TRX_0000169,ST_2019_D001_022,CS_101,T_2019-2020_ODD,15,23,38,0,Fail,68
TRX_0000170,ST_2019_D001_022,CS_102,T_2019-2020_ODD,12,19,31,0,Debarred,45
TRX_0000171,ST_2019_D001_022,CS_103,T_2019-2020_ODD,12,20,32,0,Debarred,48
TRX_0000172,ST_2019_D001_022,CS_104,T_2019-2020_ODD,18,29,47,5,Pass,64
TRX_0000173,ST_2019_D001_022,CS_105,T_2019-2020_ODD,18,27,45,5,Pass,67
TRX_0000174,ST_2019_D001_022,CS_106,T_2019-2020_ODD,16,24,40,0,Debarred,48
TRX_0000175,ST_2019_D001_022,CS_107,T_2019-2020_ODD,12,18,30,0,Fail,57
TRX_0000176,ST_2019_D001_022,CS_108,T_2019-2020_ODD,24,36,60,7,Pass,55
TRX_0000177,ST_2019_D001_023,CS_101,T_2019-2020_ODD,27,42,69,7,Pass,84
TRX_0000178,ST_2019_D001_023,CS_102,T_2019-2020_ODD,27,42,69,7,Pass,88
TRX_0000179,ST_2019_D001_023,CS_103,T_2019-2020_ODD,29,45,74,8,Pass,74
TRX_0000180,ST_2019_D001_023,CS_104,T_2019-2020_ODD,20,30,50,6,Pass,87
TRX_0000181,ST_2019_D001_023,CS_105,T_2019-2020_ODD,31,47,78,8,Pass,86
TRX_0000182,ST_2019_D001_023,CS_106,T_2019-2020_ODD,22,34,56,6,Pass,74
TRX_0000183,ST_2019_D001_023,CS_107,T_2019-2020_ODD,27,42,69,7,Pass,81
TRX_0000184,ST_2019_D001_023,CS_108,T_2019-2020_ODD,22,34,56,6,Pass,81
TRX_0000185,ST_2019_D001_024,CS_101,T_2019-2020_ODD,24,38,62,7,Pass,88
TRX_0000186,ST_2019_D001_024,CS_102,T_2019-2020_ODD,28,42,70,8,Pass,74
TRX_0000187,ST_2019_D001_024,CS_103,T_2019-2020_ODD,30,45,75,8,Pass,66
TRX_0000188,ST_2019_D001_024,CS_104,T_2019-2020_ODD,32,48,80,9,Pass,90
TRX_0000189,ST_2019_D001_024,CS_105,T_2019-2020_ODD,26,39,65,7,Pass,72
TRX_0000190,ST_2019_D001_024,CS_106,T_2019-2020_ODD,21,32,53,6,Pass,77
TRX_0000191,ST_2019_D001_024,CS_107,T_2019-2020_ODD,26,39,65,7,Pass,72
TRX_0000192,ST_2019_D001_024,CS_108,T_2019-2020_ODD,27,42,69,7,Pass,85
TRX_0000193,ST_2019_D001_025,CS_101,T_2019-2020_ODD,26,40,66,7,Pass,67
TRX_0000194,ST_2019_D001_025,CS_102,T_2019-2020_ODD,24,37,61,7,Pass,65
TRX_0000195,ST_2019_D001_025,CS_103,T_2019-2020_ODD,21,33,54,6,Pass,75
TRX_0000196,ST_2019_D001_025,CS_104,T_2019-2020_ODD,30,47,77,8,Pass,77
TRX_0000197,ST_2019_D001_025,CS_105,T_2019-2020_ODD,25,38,63,7,Pass,83
TRX_0000198,ST_2019_D001_025,CS_106,T_2019-2020_ODD,26,41,67,7,Pass,76
TRX_0000199,ST_2019_D001_025,CS_107,T_2019-2020_ODD,22,33,55,6,Pass,86
TRX_0000200,ST_2019_D001_025,CS_108,T_2019-2020_ODD,26,39,65,7,Pass,89
TRX_0000201,ST_2019_D001_026,CS_101,T_2019-2020_ODD,20,32,52,6,Pass,89
TRX_0000202,ST_2019_D001_026,CS_102,T_2019-2020_ODD,27,41,68,7,Pass,65
TRX_0000203,ST_2019_D001_026,CS_103,T_2019-2020_ODD,20,30,50,6,Pass,67
TRX_0000204,ST_2019_D001_026,CS_104,T_2019-2020_ODD,22,34,56,6,Pass,73
TRX_0000205,ST_2019_D001_026,CS_105,T_2019-2020_ODD,31,48,79,8,Pass,66
TRX_0000206,ST_2019_D001_026,CS_106,T_2019-2020_ODD,32,48,80,9,Pass,66
TRX_0000207,ST_2019_D001_026,CS_107,T_2019-2020_ODD,24,38,62,7,Pass,90
TRX_0000208,ST_2019_D001_026,CS_108,T_2019-2020_ODD,23,36,59,6,Pass,81
TRX_0000209,ST_2019_D001_027,CS_101,T_2019-2020_ODD,20,31,51,6,Pass,72
TRX_0000210,ST_2019_D001_027,CS_102,T_2019-2020_ODD,20,30,50,6,Pass,67
TRX_0000211,ST_2019_D001_027,CS_103,T_2019-2020_ODD,23,36,59,6,Debarred,45
TRX_0000212,ST_2019_D001_027,CS_104,T_2019-2020_ODD,13,21,34,0,Fail,74
TRX_0000213,ST_2019_D001_027,CS_105,T_2019-2020_ODD,12,18,30,0,Fail,57
TRX_0000214,ST_2019_D001_027,CS_106,T_2019-2020_ODD,12,18,30,0,Fail,59
TRX_0000215,ST_2019_D001_027,CS_107,T_2019-2020_ODD,15,23,38,0,Fail,72
TRX_0000216,ST_2019_D001_027,CS_108,T_2019-2020_ODD,23,36,59,6,Debarred,49
TRX_0000217,ST_2019_D001_028,CS_101,T_2019-2020_ODD,24,38,62,7,Pass,75
TRX_0000218,ST_2019_D001_028,CS_102,T_2019-2020_ODD,28,42,70,8,Pass,83
TRX_0000219,ST_2019_D001_028,CS_103,T_2019-2020_ODD,30,46,76,8,Pass,89
TRX_0000220,ST_2019_D001_028,CS_104,T_2019-2020_ODD,28,43,71,8,Pass,85
TRX_0000221,ST_2019_D001_028,CS_105,T_2019-2020_ODD,20,32,52,6,Pass,85
TRX_0000222,ST_2019_D001_028,CS_106,T_2019-2020_ODD,28,44,72,8,Pass,74
TRX_0000223,ST_2019_D001_028,CS_107,T_2019-2020_ODD,29,44,73,8,Pass,78
TRX_0000224,ST_2019_D001_028,CS_108,T_2019-2020_ODD,20,31,51,6,Pass,72
TRX_0000225,ST_2019_D001_029,CS_101,T_2019-2020_ODD,20,32,52,6,Pass,72
TRX_0000226,ST_2019_D001_029,CS_102,T_2019-2020_ODD,21,32,53,6,Pass,78
TRX_0000227,ST_2019_D001_029,CS_103,T_2019-2020_ODD,27,42,69,7,Pass,79
TRX_0000228,ST_2019_D001_029,CS_104,T_2019-2020_ODD,20,31,51,6,Pass,84
TRX_0000229,ST_2019_D001_029,CS_105,T_2019-2020_ODD,28,43,71,8,Pass,74
TRX_0000230,ST_2019_D001_029,CS_106,T_2019-2020_ODD,28,43,71,8,Pass,88
TRX_0000231,ST_2019_D001_029,CS_107,T_2019-2020_ODD,22,33,55,6,Pass,88
TRX_0000232,ST_2019_D001_029,CS_108,T_2019-2020_ODD,20,30,50,6,Pass,68
TRX_0000233,ST_2019_D001_030,CS_101,T_2019-2020_ODD,10,15,25,0,Debarred,48
TRX_0000234,ST_2019_D001_030,CS_102,T_2019-2020_ODD,22,34,56,6,Pass,50
TRX_0000235,ST_2019_D001_030,CS_103,T_2019-2020_ODD,23,35,58,6,Pass,62
TRX_0000236,ST_2019_D001_030,CS_104,T_2019-2020_ODD,16,25,41,0,Fail,73
TRX_0000237,ST_2019_D001_030,CS_105,T_2019-2020_ODD,19,29,48,5,Pass,50
TRX_0000238,ST_2019_D001_030,CS_106,T_2019-2020_ODD,16,26,42,0,Debarred,48
TRX_0000239,ST_2019_D001_030,CS_107,T_2019-2020_ODD,10,16,26,0,Debarred,47
TRX_0000240,ST_2019_D001_030,CS_108,T_2019-2020_ODD,20,32,52,6,Pass,61
TRX_0000241,ST_2019_D001_031,CS_101,T_2019-2020_ODD,26,40,66,7,Pass,73
TRX_0000242,ST_2019_D001_031,CS_102,T_2019-2020_ODD,23,35,58,6,Pass,67
TRX_0000243,ST_2019_D001_031,CS_103,T_2019-2020_ODD,27,41,68,7,Pass,87
TRX_0000244,ST_2019_D001_031,CS_104,T_2019-2020_ODD,20,32,52,6,Pass,85
TRX_0000245,ST_2019_D001_031,CS_105,T_2019-2020_ODD,25,39,64,7,Pass,80
TRX_0000246,ST_2019_D001_031,CS_106,T_2019-2020_ODD,24,37,61,7,Pass,81
TRX_0000247,ST_2019_D001_031,CS_107,T_2019-2020_ODD,26,39,65,7,Pass,66
TRX_0000248,ST_2019_D001_031,CS_108,T_2019-2020_ODD,22,33,55,6,Pass,83
TRX_0000249,ST_2019_D001_032,CS_101,T_2019-2020_ODD,14,21,35,0,Fail,63
TRX_0000250,ST_2019_D001_032,CS_102,T_2019-2020_ODD,12,19,31,0,Fail,56
TRX_0000251,ST_2019_D001_032,CS_103,T_2019-2020_ODD,15,24,39,0,Debarred,47
TRX_0000252,ST_2019_D001_032,CS_104,T_2019-2020_ODD,10,15,25,0,Fail,72
TRX_0000253,ST_2019_D001_032,CS_105,T_2019-2020_ODD,10,15,25,0,Debarred,42
TRX_0000254,ST_2019_D001_032,CS_106,T_2019-2020_ODD,10,17,27,0,Fail,55
TRX_0000255,ST_2019_D001_032,CS_107,T_2019-2020_ODD,19,29,48,5,Pass,70
TRX_0000256,ST_2019_D001_032,CS_108,T_2019-2020_ODD,13,21,34,0,Fail,64
TRX_0000257,ST_2019_D001_033,CS_101,T_2019-2020_ODD,10,17,27,0,Fail,51
TRX_0000258,ST_2019_D001_033,CS_102,T_2019-2020_ODD,20,31,51,6,Pass,75
TRX_0000259,ST_2019_D001_033,CS_103,T_2019-2020_ODD,18,27,45,5,Pass,54
TRX_0000260,ST_2019_D001_033,CS_104,T_2019-2020_ODD,20,31,51,6,Pass,55
TRX_0000261,ST_2019_D001_033,CS_105,T_2019-2020_ODD,16,26,42,0,Fail,60
TRX_0000262,ST_2019_D001_033,CS_106,T_2019-2020_ODD,19,29,48,5,Debarred,44
TRX_0000263,ST_2019_D001_033,CS_107,T_2019-2020_ODD,22,35,57,6,Debarred,47
TRX_0000264,ST_2019_D001_033,CS_108,T_2019-2020_ODD,14,22,36,0,Debarred,43
TRX_0000265,ST_2019_D001_034,CS_101,T_2019-2020_ODD,37,56,93,10,Pass,92
TRX_0000266,ST_2019_D001_034,CS_102,T_2019-2020_ODD,34,53,87,9,Pass,86
TRX_0000267,ST_2019_D001_034,CS_103,T_2019-2020_ODD,35,54,89,9,Pass,87
TRX_0000268,ST_2019_D001_034,CS_104,T_2019-2020_ODD,34,52,86,9,Pass,94
TRX_0000269,ST_2019_D001_034,CS_105,T_2019-2020_ODD,31,48,79,8,Pass,95
TRX_0000270,ST_2019_D001_034,CS_106,T_2019-2020_ODD,30,47,77,8,Pass,99
TRX_0000271,ST_2019_D001_034,CS_107,T_2019-2020_ODD,33,50,83,9,Pass,96
TRX_0000272,ST_2019_D001_034,CS_108,T_2019-2020_ODD,38,57,95,10,Pass,94
TRX_0000273,ST_2019_D001_035,CS_101,T_2019-2020_ODD,40,60,100,10,Pass,94
TRX_0000274,ST_2019_D001_035,CS_102,T_2019-2020_ODD,36,55,91,10,Pass,92
TRX_0000275,ST_2019_D001_035,CS_103,T_2019-2020_ODD,38,57,95,10,Pass,96
TRX_0000276,ST_2019_D001_035,CS_104,T_2019-2020_ODD,33,50,83,9,Pass,100
TRX_0000277,ST_2019_D001_035,CS_105,T_2019-2020_ODD,32,49,81,9,Pass,92
